Prefix,Class Number,Class Name,Credits
ELT,93,Concepts Electronics/Computers,1
ELT,106,Basic Math for Electronics,3
ELT,108,Math-Electronics & Computers,4
ELT,123,Programmable Controllers,3
ELT,125,Advanced PLC,3
ELT,126,Industrial Electronics,2
ELT,131,Motor Controls,3
ELT,143,Mechanisms,3
ELT,146,Mechanisms Lab,2
ELT,147,NEC Residential,3
ELT,148,NEC Residential Lab,3
ELT,172,NEC Commercial/Industrial,3
ELT,173,NEC Commercial/Industrial Lab,4
ELT,178,Electrical Grounding,2
ELT,181,Adv Math for Electronics Tech,1
ELT,217,Advanced Motor Controls,3
ELT,303,Principles of Electricity,3
ELT,307,Digital Circuits,2
ELT,308,Digital Circuits Lab,2
ELT,324,Digital Electronics Lab,2
ELT,325,Digital Electronics,3
ELT,368,DC & AC Fundamentals,3
ELT,369,DC & AC Fundamentals Lab,3
ELT,383,Electronic Circuit Analysis,3
ELT,384,Electronic Circuit Anlys. Lab,2
ELT,387,Electric Circuit Analysis II,3
ELT,388,Elec Circuit Analysis II Lab,2
ELT,393,Fabrication Techniques,4
ELT,470,Bus Imaging & Security Applic.,4
